"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","1050"
">","THREAD_COUNT:","7"
">","NEEDLE_COUNT:","0"
">","EXTENTS_LEFT:","0"
">","EXTENTS_TOP:","0"
">","EXTENTS_RIGHT:","375"
">","EXTENTS_BOTTOM:","398.0"
">","EXTENTS_WIDTH:","375"
">","EXTENTS_HEIGHT:","398.0"
">","COMMAND_COLOR_CHANGE","7"
">","COMMAND_JUMP","20"
">","COMMAND_STITCH","1022"
">","COMMAND_END","1"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","654","STITCH","253","209.0"
"*","655","STITCH","241","211.0"
"*","656","STITCH","250","211.0"
"*","657","STITCH","251","213.0"
"*","658","STITCH","252","213.0"
"*","659","STITCH","233","215.0"
"*","660","STITCH","258","215.0"
"*","661","STITCH","233","217.0"
"*","662","STITCH","260","217.0"
"*","663","STITCH","229","219.0"
"*","664","STITCH","260","219.0"
"*","665","STITCH","224","221.0"
"*","666","STITCH","265","221.0"
"*","667","STITCH","220","223.0"
"*","668","STITCH","265","223.0"
"*","669","STITCH","266","225.0"
"*","670","STITCH","270","225.0"
"*","671","STITCH","214","227.0"
"*","672","STITCH","270","227.0"
"*","673","STITCH","211","229.0"
"*","674","STITCH","258","229.0"
"*","675","STITCH","207","231.0"
"*","676","STITCH","270","231.0"
"*","677","STITCH","201","233.0"
"*","678","STITCH","276","233.0"
"*","679","STITCH","194","235.0"
"*","680","STITCH","276","235.0"
